Abies cephalonica
Eryngium bourgatii
Eryngium campestre
Eryngium maritimum
Eryngium spinalba
Erysimum cheiri
Erythronium dens-canis
Eschscholzia californica
Euonymus europaeus
Euonymus latifolius
Eupatorium cannabinum
Euphorbia amygdaloides
Euphorbia characias
Euphorbia cyparissias
Euphorbia dendroides
Euphorbia flavicoma
Euphorbia helioscopia
Euphorbia lathyris
Euphorbia milii
Euphorbia nicaeensis
Euphorbia paralias
Euphorbia peplis
Euphorbia peplus
Euphorbia segetalis
Euphorbia seguieriana
Euphorbia serrata
Euphorbia spinosa
Fagus sylvatica
Fatsia japonica
Feijoa sellowiana
Ferula communis
Ficaria verna
Ficus carica
Filipendula ulmaria
Filipendula vulgaris
Foeniculum vulgare
Fragaria vesca
Frangula dodonei
Fraxinus angustifolia
Fraxinus excelsior
Fraxinus ornus
Fritillaria meleagris
Fritillaria pyrenaica
Fumaria capreolata
Fumaria officinalis
Gagea bohemica
Gagea granatelli
Galactites tomentosus
Galanthus nivalis
Galeopsis tetrahit
Galinsoga quadriradiata
Galium aparine
Galium odoratum
Galium verum
Gazania
Genista hispanica
Genista pilosa
Genista sagittalis
Genista scorpius
Genista tinctoria
Gentiana acaulis
Gentiana alpina
Gentiana burseri
Gentiana cruciata
Gentiana lutea
Gentiana nivalis
Gentiana pneumonanthe
Gentiana purpurea
Gentiana pyrenaica
Gentiana verna
Gentianella campestris
Gentianopsis ciliata
Geranium columbinum
Geranium dissectum
Geranium lucidum
Geranium molle
Geranium nodosum
Geranium phaeum
Geranium pratense
Geranium pusillum
Geranium pyrenaicum
Geranium robertianum
Geranium rotundifolium
Geranium sanguineum
Geranium sylvaticum
Gerber Daisy
Gerbera Daisy
Geum montanum
Geum reptans
Geum rivale
Geum urbanum
Ginkgo biloba
Gladiolus italicus
Glaucium flavum
Glechoma hederacea
Gleditsia triacanthos
Globularia alypum
Globularia bisnagarica
Globularia repens
Golden Euonymus
Gymnadenia conopsea
Gymnadenia nigra
Hedera helix
Helianthemum apenninum
Helianthemum nummularium
Helianthus annuus
Helichrysum stoechas
Heliotropium europaeum
Helleborus foetidus
Helleborus viridis
Helminthotheca echioides
Hemerocallis fulva
Hemerocallis lilioasphodelus
Heracleum pyrenaicum
Heracleum sphondylium
Hesperis matronalis
Hibiscus rosa-sinensis
Hibiscus syriacus
Himantoglossum hircinum
Himantoglossum robertianum
Hippocrepis comosa
Hippocrepis emerus
Holcus lanatus
Homogyne alpina
Honckenya peploides
Hormathophylla spinosa
Humulus lupulus
Hyacinthoides non-scripta
Hydrangea macrophylla
Hylotelephium telephium
Hyoscyamus albus
Hyoseris radiata
Hyparrhenia hirta
Hypericum androsaemum
Hypericum hirsutum
Hypericum perforatum
Hypericum richeri
Hypochaeris radicata
Ilex aquifolium
Impatiens balfouri
Impatiens glandulifera
Imperatoria ostruthium
Inula conyza
Iris foetidissima
Iris lutescens
Iris pseudacorus
Isatis tinctoria
Isotoma fluviatilis
Jacobaea adonidifolia
Jacobaea erucifolia
Jacobaea maritima
Jacobaea vulgaris
Jasione montana
Jasminum fruticans
Juglans nigra
Juglans regia
Juncus bulbosus
Juncus effusus
Juncus gerardi
Juniperus communis
Juniperus oxycedrus
Juniperus phoenicea
Juniperus sabina
Kerria japonica
Kickxia spuria
Knautia arvensis
Knautia maxima
Koelreuteria paniculata
Laburnum anagyroides
Lactuca alpina
Lactuca muralis
Lactuca perennis
Lactuca plumieri
Lactuca serriola
Lactuca viminea
Lagurus ovatus
Lamium album
Lamium amplexicaule
Lamium galeobdolon
Lamium maculatum
Lamium purpureum
Lantana Lemon Zest
Lantana camara
Lapsana communis
Larix decidua
Lathraea clandestina
Lathyrus cicera
Lathyrus latifolius
Lathyrus pratensis
Lathyrus sylvestris
Laurus nobilis
Lavandula stoechas
Legousia speculum-veneris
Leontodon hispidus
Leontopodium nivale
Lepidium draba
Leucanthemopsis alpina
Leucanthemum vulgare
Ligustrum vulgare
Lilium lancifolium
Lilium martagon
Lilium pyrenaicum
Limodorum abortivum
Limoniastrum monopetalum
Limonium narbonense
Limonium vulgare
Linaria alpina
Linaria repens
Linaria supina
Linaria vulgaris
Linum campanulatum
Linum narbonense
Linum suffruticosum
Linum usitatissimum
Lippia triphylla
Liquidambar styraciflua
Liriodendron tulipifera
Lithodora fruticosa
Lithospermum officinale
Little Peanut Daylily
Lobularia maritima
Loncomelos pyrenaicus
Lonicera alpigena
Lonicera etrusca
Lonicera implexa
Lonicera periclymenum
Lonicera xylosteum
Lotus corniculatus
Lotus edulis
Lotus maritimus
Lunaria annua
Lupinus angustifolius
Luzula campestris
Lychnis coronaria
Lychnis flos-cuculi
Lycopsis arvensis
Lycopus europaeus
Lysimachia arvensis
Lysimachia nemorum
Lysimachia vulgaris
Lythrum salicaria
Magnolia grandiflora
Malus domestica
Malus sylvestris
Malva arborea
Malva moschata
Malva neglecta
Malva setigera
Malva sylvestris
Mandevilla
Marigold
Matricaria chamomilla
Matthiola incana
Matthiola sinuata
Maytenus canariensis
Meconopsis cambrica
Medicago arborea
Medicago lupulina
Medicago sativa
Melampyrum pratense
Melia azedarach
Melilotus albus
Melissa officinalis
Melittis melissophyllum
Mentha aquatica
Mentha arvensis
Mentha longifolia
Mentha spicata
Mentha suaveolens
Mercurialis annua
Mercurialis perennis
Microthlaspi perfoliatum
Mirabilis jalapa
Misopates orontium
Monotropa hypopitys
Morus alba
Morus kagayamae
Muscari comosum
Muscari neglectum
Myosotis alpestris
Myosotis arvensis
Myosotis scorpioides
Myosoton aquaticum
Myrtus communis
Narcissus assoanus
Narcissus dubius
Narcissus pseudonarcissus
Narcissus tazetta
Nasturtium officinale
Neotinea ustulata
Neottia nidus-avis
Neottia ovata
Nerium oleander
Nigella damascena
Odontites luteus
Odontites vernus
Oenanthe crocata
Oenothera biennis
Oenothera glazioviana
Olea europaea
Onobrychis viciifolia
Ononis minutissima
Ononis natrix
Ononis reclinata
Ononis spinosa
Onopordum acanthium
Ophrys apifera
Ophrys arachnitiformis
Ophrys aranifera
Ophrys bertolonii
Ophrys fuciflora
Ophrys insectifera
Ophrys lupercalis
Ophrys lutea
Ophrys passionis
Ophrys scolopax
Ophrys speculum
Ophrys virescens
Opuntia ficus-indica
Orchis anthropophora
Orchis mascula
Orchis provincialis
Orchis purpurea
Orchis simia
Origanum vulgare
Ornithogalum umbellatum
Orobanche amethystea
Orobanche caryophyllacea
Orobanche gracilis
Orobanche hederae
Orobanche minor
Orobanche rapum-genistae
Osmunda regalis
Ostrya carpinifolia
Other
Oxalis articulata
Oxalis corniculata
Paliurus spina-christi
Pallenis spinosa
Pancratium maritimum
Papaver alpinum
Papaver rhoeas
Papaver somniferum
Pardoglossum cheirifolium
Parietaria judaica
Paris quadrifolia
Parnassia palustris
Parthenocissus quinquefolia
Parthenocissus tricuspidata
Passiflora caerulea
Pastinaca sativa
Paulownia tomentosa
Perovskia atriplicifolia
Persicaria maculosa
Petasites pyrenaicus
Petunia
Phacelia tanacetifolia
Philadelphus coronarius
Phillyrea angustifolia
Phillyrea media
Phleum pratense
Phlomis fruticosa
Photinia serrulata
Phyteuma hemisphaericum
Phyteuma spicatum
Phytolacca americana
Picris hieracioides
Pilosella aurantiaca
Pilosella lactucella
Pilosella officinarum
Pinguicula grandiflora
Pink Chiffon
Pinus brutia
Pinus cembra
Pinus halepensis
Pinus mugo
Pinus nigra
Pinus pinaster
Pinus pinea
Pinus sylvestris
Pistacia lentiscus
Pistacia terebinthus
Pittosporum tenuifolium
Pittosporum tobira
Plantago coronopus
Plantago lagopus
Plantago lanceolata
Plantago major
Plantago maritima
Plantago media
Platanthera bifolia
Platanthera chlorantha
Platanus orientalis
Platanus x
Poa annua
Polygala vulgaris
Polygonatum multiflorum
Polygonatum odoratum
Polypodium vulgare
Polystichum setiferum
Populus alba
Populus nigra
Populus tremula
Populus trichocarpa
Portulaca oleracea
Potentilla erecta
Potentilla indica
Potentilla recta
Potentilla reptans
Potentilla sterilis
Potentilla tabernaemontani
Poterium sanguisorba
Prenanthes purpurea
Primula elatior
Primula veris
Primula vulgaris
Prospero autumnale
Prunella grandiflora
Prunella hastifolia
Prunella laciniata
Prunella vulgaris
Prunus armeniaca
Prunus avium
Prunus cerasifera
Prunus dulcis
Prunus laurocerasus
Prunus mahaleb
Prunus padus
Prunus serotina
Prunus serrulata
Prunus spinosa
Pseudorchis albida
Pseudoturritis turrita
Pteridium aquilinum
Pterocarya fraxinifolia
Pulicaria dysenterica
Punica granatum
Pyracantha coccinea
Pyrus communis
Quercus cerris
Quercus coccifera
Quercus ilex
Quercus palustris
Quercus petraea
Quercus pubescens
Quercus robur
Quercus rubra
Quercus suber
Ranunculus aconitifolius
Ranunculus acris
Ranunculus bulbosus
Ranunculus flammula
Ranunculus gramineus
Ranunculus paludosus
Ranunculus parviflorus
Ranunculus peltatus
Ranunculus platanifolius
Ranunculus repens
Ranunculus sceleratus
Ranunculus trichophyllus
Raphanus raphanistrum
Reseda lutea
Reseda luteola
Reseda phyteuma
Reynoutria japonica
Rhamnus alaternus
Rhamnus alpina
Rhamnus cathartica
Rhamnus pumila
Rhaponticum coniferum
Rhinanthus alectorolophus
Rhinanthus minor
Rhododendron ferrugineum
Rhus coriaria
Rhus typhina
Ribes rubrum
Robinia pseudoacacia
Rosa
Rosa agrestis
Rosa canina
Rosa pendulina
Rosa spinosissima
Rosmarinus officinalis
Rubia tinctorum
Rubus fruticosus
Rubus idaeus
Rubus pedatifolius
Rubus ulmifolius
Ruellia Brittoniana
Rumex acetosella
Rumex crispus
Rumex obtusifolius
Ruscus aculeatus
Ruta montana
Salix alba
Salix babylonica
Salix caprea
Salix cinerea
Salix fragilis
Salix herbacea
Salvia officinalis
Salvia pratensis
Salvia verbenaca
Sambucus ebulus
Sambucus nigra
Sambucus racemosa
Saponaria ocymoides
Saponaria officinalis
Satureja montana
Saxifraga aizoides
Saxifraga granulata
Saxifraga media
Saxifraga moschata
Saxifraga paniculata
Saxifraga tridactylites
Scabiosa atropurpurea
Scabiosa columbaria
Scilla luciliae
Scolymus hispanicus
Scorzoneroides pyrenaica
Scrophularia auriculata
Scrophularia nodosa
Scutellaria galericulata
Sedum acre
Sedum album
Sedum dasyphyllum
Sedum rupestre
Sedum sediforme
Sempervivum arachnoideum
Sempervivum montanum
Sempervivum tectorum
Senecio doronicum
Senecio inaequidens
Senecio ovatus
Senecio vulgaris
Serapias lingua
Serapias vomeracea
Sherardia arvensis
Sideritis romana
Silene acaulis
Silene baccifera
Silene conica
Silene dioica
Silene gallica
Silene italica
Silene latifolia
Silene nutans
Silene uniflora
Silene vulgaris
Silybum marianum
Sinapis arvensis
Sisymbrium irio
Sisymbrium officinale
Smilax aspera
Smyrnium olusatrum
Solanum dulcamara
Solanum nigrum
Soldanella alpina
Solidago virgaurea
Sonchus asper
Sonchus tenerrimus
Sophora japonica
Sorbus aria
Sorbus aucuparia
Sorbus domestica
Sorbus intermedia
Sorbus torminalis
Spartium junceum
Spergula arvensis
Spergula media
Spiranthes spiralis
Stachys recta
Stachys sylvatica
Staehelina dubia
Stellaria holostea
Stellaria media
Succisa pratensis
Symphytum officinale
Symphytum tuberosum
Syringa vulgaris
Tanacetum vulgare
Taraxacum officinale
Taxus baccata
Teucrium chamaedrys
Teucrium flavum
Teucrium fruticans
Teucrium montanum
Teucrium scorodonia
Thalictrum aquilegiifolium
Thymus serpyllum
Thymus vulgaris
Tilia cordata
Tilia dasystyla
Tilia platyphyllos
Tordylium apulum
Tordylium maximum
Torilis arvensis
Tozzia alpina
Trachelospermum jasminoides
Tractema lilio-hyacinthus
Tractema verna
Tragopogon porrifolius
Tragopogon pratensis
Tribulus terrestris
Trifolium alpinum
Trifolium campestre
Trifolium cherleri
Trifolium incarnatum
Trifolium pratense
Trifolium repens
Trifolium resupinatum
Trifolium scabrum
Trifolium stellatum
Trifolium subterraneum
Tripleurospermum inodorum
Tripodion tetraphyllum
Tripolium pannonicum
Trollius europaeus
Tuberaria guttata
Tulipa gesneriana
Tulipa sylvestris
Tussilago farfara
Ulex europaeus
Ulex gallii
Ulmus minor
Umbilicus rupestris
Urospermum dalechampii
Urtica dioica
Vaccinium myrtillus
Vaccinium vitis-idaea
Valeriana celtica
Valeriana officinalis
Veratrum album
Verbascum blattaria
Verbascum boerhavii
Verbascum lychnitis
Verbascum nigrum
Verbascum pulverulentum
Verbascum sinuatum
Verbascum thapsus
Verbena officinalis
Veronica anagallis-aquatica
Veronica arvensis
Veronica beccabunga
Veronica chamaedrys
Veronica cymbalaria
Veronica hederifolia
Veronica officinalis
Veronica persica
Veronica serpyllifolia
Viburnum lantana
Viburnum opulus
Viburnum rhytidophyllum
Viburnum tinus
Vicia cracca
Vicia hirsuta
Vicia hybrida
Vicia pannonica
Vicia sativa
Vicia sepium
Vinca
Vinca major
Vinca minor
Vincetoxicum hirundinaria
Vincetoxicum nigrum
Viola alba
Viola arvensis
Viola biflora
Viola calcarata
Viola cornuta
Viola lutea
Viola odorata
Viola riviniana
Viola tricolor
Viscum album
Vitex agnus-castus
Vitis vinifera
Wisteria sinensis
Zinnia Bright Orange
Zinnia peruviana
